Function,Learning Rate,Optimizer,Activation,Hidden Size,Final Loss,Accurcy
generate_XOR_easy,0.1,SGD,sigmoid,10,0.0002161401706808929,1.0
generate_XOR_easy,0.1,SGD,sigmoid,20,0.0001994556400967794,1.0
generate_XOR_easy,0.1,SGD,sigmoid,30,0.0002640416856674764,1.0
generate_XOR_easy,0.1,SGD,ReLU,10,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.1,SGD,ReLU,20,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.1,SGD,ReLU,30,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.1,SGD,tanh,10,1.2176839018146632e-05,1.0
generate_XOR_easy,0.1,SGD,tanh,20,1.4098201837834946e-05,1.0
generate_XOR_easy,0.1,SGD,tanh,30,2.675357107330734e-05,1.0
generate_XOR_easy,0.1,SGD,none_activation,10,,0.5238095238095238
generate_XOR_easy,0.1,SGD,none_activation,20,,0.5238095238095238
generate_XOR_easy,0.1,SGD,none_activation,30,,0.5238095238095238
generate_XOR_easy,0.1,Momentum,sigmoid,10,1.0140178344330395e-05,1.0
generate_XOR_easy,0.1,Momentum,sigmoid,20,1.4975997999828133e-05,1.0
generate_XOR_easy,0.1,Momentum,sigmoid,30,1.2150442359516414e-05,1.0
generate_XOR_easy,0.1,Momentum,ReLU,10,0.23809523809523808,0.7619047619047619
generate_XOR_easy,0.1,Momentum,ReLU,20,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.1,Momentum,ReLU,30,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.1,Momentum,tanh,10,4.828350465193891e-07,1.0
generate_XOR_easy,0.1,Momentum,tanh,20,2.910009053965978e-06,1.0
generate_XOR_easy,0.1,Momentum,tanh,30,2.9003748422813276e-07,1.0
generate_XOR_easy,0.1,Momentum,none_activation,10,,0.5238095238095238
generate_XOR_easy,0.1,Momentum,none_activation,20,,0.5238095238095238
generate_XOR_easy,0.1,Momentum,none_activation,30,,0.5238095238095238
generate_XOR_easy,0.1,Adagrad,sigmoid,10,5.736126643871727e-06,1.0
generate_XOR_easy,0.1,Adagrad,sigmoid,20,5.558816992220645e-06,1.0
generate_XOR_easy,0.1,Adagrad,sigmoid,30,6.648524170020448e-06,1.0
generate_XOR_easy,0.1,Adagrad,ReLU,10,3.2517034337235158e-31,1.0
generate_XOR_easy,0.1,Adagrad,ReLU,20,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.1,Adagrad,ReLU,30,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.1,Adagrad,tanh,10,6.09782461142118e-06,1.0
generate_XOR_easy,0.1,Adagrad,tanh,20,2.9176328740061637e-06,1.0
generate_XOR_easy,0.1,Adagrad,tanh,30,4.351955164659154e-06,1.0
generate_XOR_easy,0.1,Adagrad,none_activation,10,0.24943310657596354,0.5238095238095238
generate_XOR_easy,0.1,Adagrad,none_activation,20,0.24943310657596393,0.5238095238095238
generate_XOR_easy,0.1,Adagrad,none_activation,30,0.24943310657596102,0.5238095238095238
generate_XOR_easy,0.1,Adam,sigmoid,10,7.891425755200714e-13,1.0
generate_XOR_easy,0.1,Adam,sigmoid,20,7.650446282898906e-13,1.0
generate_XOR_easy,0.1,Adam,sigmoid,30,5.382695048722715e-13,1.0
generate_XOR_easy,0.1,Adam,ReLU,10,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.1,Adam,ReLU,20,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.1,Adam,ReLU,30,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.1,Adam,tanh,10,0.5238095238095238,0.47619047619047616
generate_XOR_easy,0.1,Adam,tanh,20,0.5238095238095232,0.47619047619047616
generate_XOR_easy,0.1,Adam,tanh,30,0.5238095238095238,0.47619047619047616
generate_XOR_easy,0.1,Adam,none_activation,10,0.2494331065759638,0.5238095238095238
generate_XOR_easy,0.1,Adam,none_activation,20,0.24943310657596363,0.5238095238095238
generate_XOR_easy,0.1,Adam,none_activation,30,0.24943310657596302,0.5238095238095238
